Espacio,Municipio,Tipo,Capacidad,Parking,Inicio totalidad,Duración totalidad,Dist_carretera_km,Tiempo_Maps,Dist_centerline_km
Castillo de Calatañazor,Calatañazor (Soria),Monumento,-,-,20:29:11,1m 44s,392.9,04h 52min,1.0
Pico de Urbión,Duruelo de la Sierra (Soria),Montaña,-,-,20:28:48,1m 43s,421.0,06h 46min,28.7
Campamento de Alto Real,Garray (Soria),Explanada,-,-,20:28:56,1m 41s,365.1,04h 55min,29.4
Numancia,Garray (Soria),Auditorio al aire libre,3.000,-,20:28:56,1m 41s,366.5,04h 39min,25.9
Fortaleza de Gormaz,Gormaz (Soria),Monumento,-,-,20:29:33,1m 44s,398.6,05h 06min,27.9
Castillo de Medinaceli,Medinaceli (Soria),Explanada,-,-,20:29:57,1m 42s,314.5,04h 00min,37.6
Tiermes,Montejo de Tiermes (Soria),Yacimiento arqueológico,-,-,20:29:50,1m 40s,388.8,05h 25min,46.4
Augustóbriga,Ólvega (Soria),Yacimiento arqueológico,-,-,20:28:55,1m 37s,353.3,04h 20min,39.6
Uxama,El Burgo de Osma-Ciudad de Osma (Soria),Yacimiento arqueológico,-,-,20:29:25,1m 44s,403.6,05h 16min,21.4
Muela de Peñalcázar,Quiñonería (Soria),Espacio natural,-,-,20:29:14,1m 41s,351.3,04h 41min,3.6
Sierra de Perdices,Viana de Duero (Soria),Espacio natural,-,-,20:29:22,1m 44s,384.4,04h 54min,19.6
Eras de Rioseco,Rioseco de Soria (Soria),Explanada,-,-,20:29:17,1m 44s,378.9,04h 57min,8.7
Cerro de San Leonardo de Yagüe,San Leonardo de Yagüe (Soria),Espacio natural,-,-,20:29:01,1m 45s,407.8,05h 08min,8.5
Monte Valonsadero,Soria (Soria),Espacio natural,30.000,-,20:29:01,1m 41s,368.0,04h 54min,25.2
Mirador de la Galiana,Ucero (Soria),Espacio natural,-,-,20:29:12,1m 44s,410.1,05h 32min,8.9
Alcazaren,Alcazaren (Valladolid),(sin especificar),-,-,20:30:20,1m 14s,531.7,06h 11min,113.1
Becilla de Valderaduey,Becilla de Valderaduey (Valladolid),Espacio natural,-,-,20:29:05,1m 36s,635.5,07h 20min,78.8
Cabezón del Pisuerga,Cabezón del Pisuerga (Valladolid),(sin especificar),-,-,20:29:36,1m 33s,571.9,06h 43min,77.6
Campaspero,Campaspero (Valladolid),(sin especificar),-,-,20:29:55,1m 31s,515.6,05h 55min,88.2
Castrodeza,Castrodeza (Valladolid),(sin especificar),-,-,20:29:53,1m 22s,561.1,06h 14min,107.3
Cigales,Cigales (Valladolid),(sin especificar),-,-,20:29:34,1m 33s,596.8,06h 46min,77.2
Encinas de Esgueva,Encinas de Esgueva (Valladolid),(sin especificar),-,-,20:29:23,1m 41s,536.0,06h 01min,47.1
Íscar,Íscar (Valladolid),(sin especificar),-,-,20:30:18,1m 17s,534.0,06h 10min,106.5
La Cisterniga,La Cisterniga (Valladolid),(sin especificar),-,-,20:29:51,1m 27s,564.6,07h 08min,88.6
La Parrilla,La Parrilla (Valladolid),(sin especificar),-,-,20:29:57,1m 27s,548.4,06h 25min,89.8
Medina de Rioseco,Medina de Rioseco (Valladolid),(sin especificar),-,-,20:29:27,1m 31s,614.5,06h 55min,83.7
Piñel de Abajo,Piñel de Abajo (Valladolid),(sin especificar),-,-,20:29:33,1m 38s,541.7,06h 06min,54.1
Portillo,Portillo (Valladolid),(sin especificar),-,-,20:30:05,1m 22s,556.5,06h 20min,95.3
Rueda,Rueda (Valladolid),(sin especificar),-,-,20:30:24,1m 06s,542.4,06h 06min,123.7
San Miguel de Pino,San Miguel de Pino (Valladolid),(sin especificar),-,-,20:29:47,1m 28s,555.3,06h 17min,114.7
San Miguel del Arroyo,San Miguel del Arroyo (Valladolid),(sin especificar),-,-,20:30:06,1m 24s,534.8,06h 20min,91.4
Tiedra,Tiedra (Valladolid),(sin especificar),-,-,20:30:01,1m 13s,592.9,06h 36min,103.2
Trigueros del Valle,Trigueros del Valle (Valladolid),(sin especificar),-,-,20:29:25,1m 36s,589.4,06h 44min,59.1
Tudela de Duero,Tudela de Duero (Valladolid),(sin especificar),-,-,20:29:52,1m 28s,560.2,06h 26min,88.2
Urones de Castroponce,Urones de Castroponce (Valladolid),(sin especificar),-,-,20:29:06,1m 35s,629.1,07h 12min,83.3
Urueña,Urueña (Valladolid),(sin especificar),-,-,20:29:49,1m 20s,600.0,06h 50min,96.6
Villalón de Campos,Villalón de Campos (Valladolid),(sin especificar),-,-,20:29:01,1m 40s,641.4,07h 33min,65.1
Villanueva de Duero,Villanueva de Duero (Valladolid),(sin especificar),-,-,20:30:08,1m 16s,551.7,06h 36min,104.9
Avenida Cardenal Cisneros,Zamora (Zamora),Explanada,-,-,20:30:48,0m 19s,623.4,06h 58min,151.2
Avenida de la Frontera,Zamora (Zamora),Espacio natural,-,-,20:30:48,0m 19s,623.4,06h 58min,151.2
Camino de Valbueno,Zamora (Zamora),Espacio natural,-,-,20:30:48,0m 19s,623.4,06h 58min,151.2
Castillo de Zamora,Zamora (Zamora),Castillo,-,-,20:30:48,0m 19s,623.4,06h 58min,151.2
Mirador de La Lobata,Zamora (Zamora),Mirador,-,-,20:30:48,0m 19s,623.4,06h 58min,151.2
Parada del Molino,Zamora (Zamora),Parque,-,-,20:30:48,0m 19s,623.4,06h 58min,151.2
Parque del Castillo,Zamora (Zamora),Parque,-,-,20:30:48,0m 19s,623.4,06h 58min,151.2
Paseo de las Vistillas,Zamora (Zamora),Parque,-,-,20:30:48,0m 19s,623.4,06h 58min,151.2
Cerro afueras de Cañete,Cañete (Cuenca),Zona rural,3.000,Sí,20:31:48,1m 10s,189.3,03h 38min,137.5
Aparcamiento de la Fuensanta,Cuenca (Cuenca),Explanada,-,Sí,20:31:59,0m 56s,211.4,02h 40min,137.4
